if_,Genotype,Phenotype,Activity_Score,Comment,Gene,Flag,Flag_Note
Hs00010001_cn2C___2222771_A0WTC__11484460_40WTC__27102414_10WTC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60HETC__32407232_50HETC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*3/*9,Intermediate Metabolizer,0.5,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3.0C___2222771_A0WTC__11484460_40WTC__27102414_10WTC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60HETC__32407232_50HETC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*3/*9 DUP,Unknown Phenotype,0.5^,"This individual is carrying at least one allele with uncertain/unknown function and the phenotype cannot be determined at this time. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3C___2222771_A0WTC__11484460_40WTC__27102414_10WTC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60HETC__32407232_50HETC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*3/*9 DUP,Unknown Phenotype,0.5^,"This individual is carrying at least one allele with uncertain/unknown function and the phenotype cannot be determined at this time. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2.0C___2222771_A0WTC__11484460_40MUTC__27102414_10MUTC__27102425_10WTC__27102431_D0HETC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*4/*10,Intermediate Metabolizer,0.25,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2C___2222771_A0WTC__11484460_40MUTC__27102414_10MUTC__27102425_10WTC__27102431_D0HETC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*4/*10,Intermediate Metabolizer,0.25,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3.0C___2222771_A0WTC__11484460_40MUTC__27102414_10MUTC__27102425_10WTC__27102431_D0HETC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*4/*10 DUP,Unknown Phenotype,0.25^,"This individual is carrying at least one allele with uncertain/unknown function and the phenotype cannot be determined at this time. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3C___2222771_A0WTC__11484460_40MUTC__27102414_10MUTC__27102425_10WTC__27102431_D0HETC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*4/*10 DUP,Unknown Phenotype,0.25^,"This individual is carrying at least one allele with uncertain/unknown function and the phenotype cannot be determined at this time. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2.0C___2222771_A0HETC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0HETC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*4/*17,Intermediate Metabolizer,0.5,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2C___2222771_A0HETC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0HETC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*4/*17,Intermediate Metabolizer,0.5,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3.0C___2222771_A0HETC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0HETC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*4/*17 DUP,Unknown Phenotype,0.5^,"This individual is carrying at least one allele with uncertain/unknown function and the phenotype cannot be determined at this time. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3C___2222771_A0HETC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0HETC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*4/*17 DUP,Unknown Phenotype,0.5^,"This individual is carrying at least one allele with uncertain/unknown function and the phenotype cannot be determined at this time. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2.0C___2222771_A0WTC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0HETC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20HETC__34816116_20WTC_30634117C_K0WT,*4/*29,Intermediate Metabolizer,0.5,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2C___2222771_A0WTC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0HETC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20HETC__34816116_20WTC_30634117C_K0WT,*4/*29,Intermediate Metabolizer,0.5,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3.0C___2222771_A0WTC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0HETC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20HETC__34816116_20WTC_30634117C_K0WT,*4/*29 DUP,Unknown Phenotype,0.5^,"This individual is carrying at least one allele with uncertain/unknown function and the phenotype cannot be determined at this time. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3C___2222771_A0WTC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0HETC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20HETC__34816116_20WTC_30634117C_K0WT,*4/*29 DUP,Unknown Phenotype,0.5^,"This individual is carrying at least one allele with uncertain/unknown function and the phenotype cannot be determined at this time. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2.0C___2222771_A0WTC__11484460_40MUTC__27102414_10MUTC__27102425_10WTC__27102431_D0MUTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*4/*4,Poor Metabolizer,0,"No CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2C___2222771_A0WTC__11484460_40MUTC__27102414_10MUTC__27102425_10WTC__27102431_D0MUTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*4/*4,Poor Metabolizer,0,"No CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3.0C___2222771_A0WTC__11484460_40MUTC__27102414_10MUTC__27102425_10WTC__27102431_D0MUTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*4/*4 DUP,Poor Metabolizer,0,"No CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3C___2222771_A0WTC__11484460_40MUTC__27102414_10MUTC__27102425_10WTC__27102431_D0MUTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*4/*4 DUP,Poor Metabolizer,0,"No CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2.0C___2222771_A0WTC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0HETC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20HETC_30634117C_K0WT,*4/*41,Intermediate Metabolizer,0.5,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2C___2222771_A0WTC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0HETC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20HETC_30634117C_K0WT,*4/*41,Intermediate Metabolizer,0.5,"Decreased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3.0C___2222771_A0WTC__11484460_40HETC__27102414_10MUTC__27102425_10HETC__27102431_D0HETC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20HETC_30634117C_K0WT,*4/*41 DUP,Unknown Phenotype,0.5^,"This individual is carrying at least one allele with uncertain/unknown function and the phenotype cannot be determined at this time. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
